15;2002;Mi, 20.02.2002;3;13;22;24;26;39;16;980192
16;2002;Sa, 23.02.2002;2;8;12;24;40;44;30;314236
17;2002;Mi, 27.02.2002;2;30;31;32;42;44;38;764454
18;2002;Sa, 02.03.2002;6;11;23;25;26;36;22;939315
19;2002;Mi, 06.03.2002;1;12;16;20;26;36;8;950623
20;2002;Sa, 09.03.2002;3;8;14;23;38;43;32;056399
21;2002;Mi, 13.03.2002;14;20;23;31;32;41;34;602792
22;2002;Sa, 16.03.2002;15;17;22;37;44;45;28;809312
23;2002;Mi, 20.03.2002;18;20;26;33;38;39;3;175600
24;2002;Sa, 23.03.2002;11;14;18;20;31;39;22;358537
25;2002;Mi, 27.03.2002;12;14;18;23;29;45;8;424791
26;2002;Sa, 30.03.2002;23;35;37;38;39;42;5;148107
27;2002;Mi, 03.04.2002;4;10;16;28;32;44;31;029669
28;2002;Sa, 06.04.2002;3;4;18;27;29;31;10;276038
29;2002;Mi, 10.04.2002;3;4;8;24;26;40;9;415306
30;2002;Sa, 13.04.2002;8;12;31;35;36;43;41;046000
31;2002;Mi, 17.04.2002;4;8;16;19;25;31;7;558495
32;2002;Sa, 20.04.2002;7;18;22;23;24;35;16;988962
33;2002;Mi, 24.04.2002;1;14;22;24;37;38;10;399359
34;2002;Sa, 27.04.2002;15;17;21;22;30;39;40;261135
35;2002;Mi, 01.05.2002;1;16;17;23;36;44;24;923203
36;2002;Sa, 04.05.2002;2;3;7;16;23;37;20;677110
37;2002;Mi, 08.05.2002;8;17;20;31;35;42;19;662303
38;2002;Sa, 11.05.2002;8;16;25;29;38;44;17;939287
39;2002;Mi, 15.05.2002;11;16;18;21;27;45;20;434775
40;2002;Sa, 18.05.2002;2;10;14;18;22;26;45;111575
41;2002;Mi, 22.05.2002;9;18;20;26;31;36;11;493035
42;2002;Sa, 25.05.2002;8;10;18;28;30;31;43;551573
43;2002;Mi, 29.05.2002;4;5;29;37;40;45;24;349718
44;2002;Sa, 01.06.2002;5;8;13;15;22;39;3;345136
45;2002;Mi, 05.06.2002;2;9;17;34;41;42;45;870362
46;2002;Sa, 08.06.2002;1;10;17;19;31;45;22;813147
47;2002;Mi, 12.06.2002;2;3;6;20;35;40;43;865417 
